En que anio termino la  batalla de Estalingrado?,1943,1918,1942,1908,3
Quien desarrollo la lobotomia?,Antonio Egas Monis,Luudvig Puusep,Ivan Pavlov,Sobral Cid,2
Cuantas valvulas tiene una flauta dulce?,6,8,7,10,2
Cuanto tiempo tiene un partido de Futbol americano?,1 hora,2 horas,90 minutos,80 Minutos,2
"En que pais surgio el estilo de baile ""Tap""?",EU,Francia,Irlanda,Espania,2
Quien descubrio la Penicilina?,Alexander Fleming,Luis Pasteur,Tomas Edison,Michel Exupery,4
Cuantas letras tiene el abecedario Cirilico (Russia),33,26,38,29,5
Quien fue Idi Amin?,Un dictador africano,Un presidente Africano,Un musico africano,Un atleta africano,3
Que se celebra el 5 de mayo?,La batalla de Puebla,La independencia de Mexico,El fin de guerra mexico-americana,El cumpleanioos de Francisco Madero,1
De que pais es originaria la marca de electrodomesticos Samsung?,Korea del Sur,China,Vietnam,Japon,1
"Que actor protagoniza la pelicula ""Drive""?",Ryan Gosling,Nicholas Cage,Javier Phoenix,Vin Diesel,3
En que anio llego el hombre a la luna?,1959,1963,1969,1970,3
Es el ave nacional de peru?,Gallito de las Rocas,Aguila Arpia,tinamou,Quetzal,3
Es una especie de raton desertico con patas de canguro>:,Jerboa,Kilimbao,Raton pigmeo,Valpoa,5
Cual de los siguientes es el elemento mas pesado por volumen?,Radio,Antimonio,Calcio,Argon,3
En que año cayó el muro de Berlin?,1991,1987,1985,1989,6
Quienes protagonizaron la guerra de los 100 ando?,Francia/Inglaterra,EU/España,Francia/Austria,España/Marruecos,3
Cual de los siguientes no es un pintor surrealista?,Claude Monet,Andre Breton,Max Ernst,Yves Tanguy,3
Cual de los siguientes no es un animal mitológico?,Okapi,Manticora,Fafner,Dilong,5
Cabo Verde fue colonia de cual de los siguientes paises?,Portugal,Espania,Holanda,Alemania,2
